year,name,party,abortion,abortion_text,abortion_sentiment
1961,Dwight D Eisenhower,Republican,0,[],NA
1961,Dwight D Eisenhower,Republican,0,[],NA
1962,John F Kennedy,Democratic,0,[],NA
1963,John F Kennedy,Democratic,0,[],NA
1964,Lyndon B Johnson,Democratic,0,[],NA
1965,Lyndon B Johnson,Democratic,0,[],NA
1966,Lyndon B Johnson,Democratic,0,[],NA
1967,Lyndon B Johnson,Democratic,0,[],NA
1968,Lyndon B Johnson,Democratic,0,[],NA
1969,Lyndon B Johnson,Democratic,0,[],NA
1970,Richard Nixon,Republican,0,[],NA
1971,Richard Nixon,Republican,0,[],NA
1972,Richard Nixon,Republican,0,[],NA
1973,Richard Nixon,Republican,0,[],NA
1974,Richard Nixon,Republican,0,[],NA
1975,Gerald R Ford,Republican,0,[],NA
1976,Gerald R Ford,Republican,0,[],NA
1977,Gerald R Ford,Republican,0,[],NA
1978,Jimmy Carter,Democratic,0,[],NA
1979,Jimmy Carter,Democratic,0,[],NA
1980,Jimmy Carter,Democratic,0,[],NA
1981,Jimmy Carter,Democratic,0,[],NA
1982,Ronald Reagan,Republican,0,[],NA
1983,Ronald Reagan,Republican,0,[],NA
1984,Ronald Reagan,Republican,1,"['We should rise above bitterness and reproach, and if Americans could come together in a spirit of understanding and helping, then we could find positive solutions to the tragedy of abortion.']",Negative
1985,Ronald Reagan,Republican,2,"['The question of abortion grips our nation.', 'It is a terrible irony that while some turn to abortion, so many others who cannot become parents cry out for children to adopt.']",Negative
1986,Ronald Reagan,Republican,0,[],NA
1987,Ronald Reagan,Republican,0,[],NA
1988,Ronald Reagan,Republican,2,"['Tonight, I call America-a good nation, a moral people-to charitable but realistic consideration of the terrible cost of abortion on demand.', 'Let us unite as a nation and protect the unborn with legislation that would stop all Federal funding for abortion and with a human life amendment making, of course, an exception where the unborn child threatens the life of the mother.']",Negative
1989,George Bush,Republican,0,[],NA
1990,George Bush,Republican,0,[],NA
1991,George Bush,Republican,0,[],NA
1992,George Bush,Republican,0,[],NA
1993,William J Clinton,Democratic,0,[],NA
1994,William J Clinton,Democratic,0,[],NA
1995,William J Clinton,Democratic,0,[],NA
1996,William J Clinton,Democratic,0,[],NA
1997,William J Clinton,Democratic,0,[],NA
1998,William J Clinton,Democratic,0,[],NA
1999,William J Clinton,Democratic,0,[],NA
2000,William J Clinton,Democratic,0,[],NA
2001,George W Bush,Republican,0,[],NA
2002,George W Bush,Republican,0,[],NA
2003,George W Bush,Republican,1,['I ask you to protect infants at the very hour of their birth and end the practice of partial-birth abortion.'],Negative
2004,George W Bush,Republican,0,[],NA
2005,George W Bush,Republican,0,[],NA
2006,George W Bush,Republican,0,"['There are fewer abortions in America than at any point in the last three decades, and the number of children born to teenage mothers has been falling for a dozen years in a row.']",Negative
2007,George W Bush,Republican,0,[],NA
2008,George W Bush,Republican,0,[],NA
2009,Barack Obama,Democratic,0,[],NA
2010,Barack Obama,Democratic,0,[],NA
2011,Barack Obama,Democratic,0,[],NA
2012,Barack Obama,Democratic,0,[],NA
2013,Barack Obama,Democratic,0,[],NA
2014,Barack Obama,Democratic,0,[],NA
2015,Barack Obama,Democratic,0,"[""We still may not agree on a woman's right to choose, but surely we can agree it's a good thing that teen pregnancies and abortions are nearing all-time lows, and that every woman should have access to the health care she needs.""]",Neutral
2016,Barack Obama,Democratic,0,[],NA
2017,Donald J Trump,Republican,0,[],NA
2018,Donald J Trump,Republican,0,[],NA
2019,Donald J Trump,Republican,1,"[""To defend the dignity of every person, I am asking the Congress to pass legislation to prohibit the late-term abortion of children who can feel pain in the mother's womb.""]",Negative
2020,Donald J Trump,Republican,1,['That is also why I am calling upon the Members of Congress here tonight to pass legislation finally banning the late-term abortion of babies.'],Negative
2021,Joseph R Biden,Democratic,0,[],NA
2022,Joseph R Biden,Democratic,0,[],NA
2023,Joseph R Biden,Democratic,1,"['But already, more than a dozen States are enforcing extreme abortion bans.']",Neutral
