Country,Year,Mentions,Party,President
BULGARIA,1795,0,Other,George Washington
IRELAND,1795,0,Other,George Washington
BOSNIA,1795,0,Other,George Washington
ARMENIA,1795,0,Other,George Washington
EL SALVADOR,1795,0,Other,George Washington
INDONESIA,1795,0,Other,George Washington
KOSOVO,1795,0,Other,George Washington
LAOS,1795,0,Other,George Washington
NIGERIA,1795,0,Other,George Washington
YEMEN,1795,0,Other,George Washington
CZECHOSLOVAKIA,1795,0,Other,George Washington
NORTHERN IRELAND,1795,0,Other,George Washington
SOMALIA,1795,0,Other,George Washington
URUGUAY,1795,0,Other,George Washington
CAMBODIA,1795,0,Other,George Washington
SAUDI ARABIA,1795,0,Other,George Washington
SOUTH AFRICA,1795,0,Other,George Washington
YUGOSLAVIA,1795,0,Other,George Washington
FINLAND,1795,0,Other,George Washington
THAILAND,1795,0,Other,George Washington
JORDAN,1795,0,Other,George Washington
KUWAIT,1795,0,Other,George Washington
LITHUANIA,1795,0,Other,George Washington
SUDAN,1795,0,Other,George Washington
TAIWAN,1795,0,Other,George Washington
USA,1796,16,Other,George Washington
MEXICO,1796,0,Other,George Washington
GREAT BRITAIN,1796,5,Other,George Washington
SPAIN,1796,2,Other,George Washington
FRANCE,1796,1,Other,George Washington
CHINA,1796,0,Other,George Washington
CUBA,1796,0,Other,George Washington
USSR/RUSSIA,1796,0,Other,George Washington
JAPAN,1796,0,Other,George Washington
GERMANY,1796,0,Other,George Washington
SOUTH KOREA,1796,0,Other,George Washington
UK,1796,2,Other,George Washington
IRAQ,1796,0,Other,George Washington
PHILIPPINES,1796,0,Other,George Washington
NICARAGUA,1796,0,Other,George Washington
AFGHANISTAN,1796,0,Other,George Washington
CANADA,1796,1,Other,George Washington
BRAZIL,1796,0,Other,George Washington
VENEZUELA,1796,0,Other,George Washington
IRAN,1796,0,Other,George Washington
TURKEY,1796,0,Other,George Washington
PERU,1796,0,Other,George Washington
VIETNAM,1796,0,Other,George Washington
PANAMA,1796,0,Other,George Washington
ITALY,1796,0,Other,George Washington
PORTUGAL,1796,0,Other,George Washington
CHILE,1796,0,Other,George Washington
AUSTRIA,1796,0,Other,George Washington
COLOMBIA,1796,0,Other,George Washington
NETHERLANDS,1796,0,Other,George Washington
DENMARK,1796,0,Other,George Washington
ISRAEL,1796,0,Other,George Washington
EGYPT,1796,0,Other,George Washington
BELGIUM,1796,0,Other,George Washington
SWEDEN,1796,0,Other,George Washington
COSTA RICA,1796,0,Other,George Washington
ARGENTINA,1796,0,Other,George Washington
LIBERIA,1796,0,Other,George Washington
GREECE,1796,0,Other,George Washington
POLAND,1796,0,Other,George Washington
BOLIVIA,1796,0,Other,George Washington
HONDURAS,1796,0,Other,George Washington
INDIA,1796,0,Other,George Washington
GENEVA,1796,0,Other,George Washington
ECUADOR,1796,0,Other,George Washington
PAKISTAN,1796,0,Other,George Washington
THE WEST INDIES,1796,3,Other,George Washington
LIBYA,1796,1,Other,George Washington
NORWAY,1796,0,Other,George Washington
PRUSSIA,1796,0,Other,George Washington
AUSTRALIA,1796,0,Other,George Washington
UKRAINE,1796,0,Other,George Washington
HUNGARY,1796,0,Other,George Washington
LEBANON,1796,0,Other,George Washington
NORTH KOREA,1796,0,Other,George Washington
GUATEMALA,1796,0,Other,George Washington
HAITI,1796,0,Other,George Washington
SWITZERLAND,1796,0,Other,George Washington
SYRIA,1796,0,Other,George Washington
MOROCCO,1796,0,Other,George Washington
THE DOMINICAN REPUBLIC,1796,0,Other,George Washington
NEW ZEALAND,1796,0,Other,George Washington
PALESTINE,1796,0,Other,George Washington
BULGARIA,1796,0,Other,George Washington
IRELAND,1796,0,Other,George Washington
BOSNIA,1796,0,Other,George Washington
ARMENIA,1796,0,Other,George Washington
EL SALVADOR,1796,0,Other,George Washington
INDONESIA,1796,0,Other,George Washington
KOSOVO,1796,0,Other,George Washington
LAOS,1796,0,Other,George Washington
NIGERIA,1796,0,Other,George Washington
YEMEN,1796,0,Other,George Washington
CZECHOSLOVAKIA,1796,0,Other,George Washington
NORTHERN IRELAND,1796,0,Other,George Washington
SOMALIA,1796,0,Other,George Washington
URUGUAY,1796,0,Other,George Washington
CAMBODIA,1796,0,Other,George Washington
SAUDI ARABIA,1796,0,Other,George Washington
SOUTH AFRICA,1796,0,Other,George Washington
YUGOSLAVIA,1796,0,Other,George Washington
FINLAND,1796,0,Other,George Washington
THAILAND,1796,0,Other,George Washington
JORDAN,1796,0,Other,George Washington
KUWAIT,1796,0,Other,George Washington
LITHUANIA,1796,0,Other,George Washington
SUDAN,1796,0,Other,George Washington
TAIWAN,1796,0,Other,George Washington
USA,1797,16,Other,John Adams
MEXICO,1797,0,Other,John Adams
GREAT BRITAIN,1797,2,Other,John Adams
SPAIN,1797,3,Other,John Adams
FRANCE,1797,5,Other,John Adams
CHINA,1797,0,Other,John Adams
CUBA,1797,0,Other,John Adams
USSR/RUSSIA,1797,0,Other,John Adams
JAPAN,1797,0,Other,John Adams
GERMANY,1797,0,Other,John Adams
SOUTH KOREA,1797,0,Other,John Adams
UK,1797,1,Other,John Adams
IRAQ,1797,0,Other,John Adams
PHILIPPINES,1797,0,Other,John Adams
NICARAGUA,1797,0,Other,John Adams
AFGHANISTAN,1797,0,Other,John Adams
CANADA,1797,0,Other,John Adams
BRAZIL,1797,0,Other,John Adams
VENEZUELA,1797,0,Other,John Adams
IRAN,1797,0,Other,John Adams
TURKEY,1797,0,Other,John Adams
PERU,1797,0,Other,John Adams
VIETNAM,1797,0,Other,John Adams
PANAMA,1797,0,Other,John Adams
ITALY,1797,0,Other,John Adams
PORTUGAL,1797,0,Other,John Adams
CHILE,1797,0,Other,John Adams
AUSTRIA,1797,0,Other,John Adams
COLOMBIA,1797,0,Other,John Adams
NETHERLANDS,1797,2,Other,John Adams
DENMARK,1797,0,Other,John Adams
ISRAEL,1797,0,Other,John Adams
EGYPT,1797,0,Other,John Adams
BELGIUM,1797,0,Other,John Adams
SWEDEN,1797,0,Other,John Adams
COSTA RICA,1797,0,Other,John Adams
ARGENTINA,1797,0,Other,John Adams
LIBERIA,1797,0,Other,John Adams
GREECE,1797,0,Other,John Adams
POLAND,1797,0,Other,John Adams
BOLIVIA,1797,0,Other,John Adams
HONDURAS,1797,0,Other,John Adams
INDIA,1797,0,Other,John Adams
GENEVA,1797,0,Other,John Adams
ECUADOR,1797,0,Other,John Adams
PAKISTAN,1797,0,Other,John Adams
THE WEST INDIES,1797,0,Other,John Adams
LIBYA,1797,0,Other,John Adams
NORWAY,1797,0,Other,John Adams
PRUSSIA,1797,0,Other,John Adams
AUSTRALIA,1797,0,Other,John Adams
UKRAINE,1797,0,Other,John Adams
HUNGARY,1797,0,Other,John Adams
LEBANON,1797,0,Other,John Adams
NORTH KOREA,1797,0,Other,John Adams
GUATEMALA,1797,0,Other,John Adams
HAITI,1797,0,Other,John Adams
SWITZERLAND,1797,0,Other,John Adams
SYRIA,1797,0,Other,John Adams
MOROCCO,1797,0,Other,John Adams
THE DOMINICAN REPUBLIC,1797,0,Other,John Adams
NEW ZEALAND,1797,0,Other,John Adams
PALESTINE,1797,0,Other,John Adams
BULGARIA,1797,0,Other,John Adams
IRELAND,1797,0,Other,John Adams
BOSNIA,1797,0,Other,John Adams
ARMENIA,1797,0,Other,John Adams
EL SALVADOR,1797,0,Other,John Adams
INDONESIA,1797,0,Other,John Adams
KOSOVO,1797,0,Other,John Adams
LAOS,1797,0,Other,John Adams
NIGERIA,1797,0,Other,John Adams
YEMEN,1797,0,Other,John Adams
