year,name,party,NATO,nato_text,nato_sentiment
1958,Dwight D Eisenhower,Republican,2,"['I have returned from the recent NATO meeting with renewed conviction that, because we are a part of a world-wide community of free and peaceful nations, our own security is immeasurably increased.', 'The groundwork for this kind of cooperation has already been laid in discussions among NATO countries.']",Neutral
1959,Dwight D Eisenhower,Republican,0,[],NA
1960,Dwight D Eisenhower,Republican,0,[],NA
1961,John F Kennedy,Democratic,2,"['A series of executive orders, legislative remedies and cooperative efforts with our allies will get underway immediately-aimed at attracting foreign investment and travel to this country-promoting American exports, at stable prices and with more liberal government guarantees and financing-curbing tax and customs loopholes that encourage undue spending of private dollars abroad-and (through OECD, NATO and otherwise) sharing with our allies all efforts to provide for the common defense of the free world and the hopes for growth of the less developed lands.', 'The unity of NATO has been weakened by economic rivalry and partially eroded by national interest.']",Neutral
1961,John F Kennedy,Democratic,2,"['The Southeast Asia Treaty Organization has been established; the NATO alliance has been militarily strengthened; the Organization of American States has been further developed as an instrument of inter-American cooperation; the Anzus treaty has strengthened ties with Australia and New Zealand, and a mutual security treaty with Japan has been signed.']",Neutral
1961,Dwight D Eisenhower,Republican,1,"['A series of executive orders, legislative remedies and cooperative efforts with our allies will get underway immediately-aimed at attracting foreign investment and travel to this country-promoting American exports, at stable prices and with more liberal government guarantees and financing-curbing tax and customs loopholes that encourage undue spending of private dollars abroad-and (through OECD, NATO and otherwise) sharing with our allies all efforts to provide for the common defense of the free world and the hopes for growth of the less developed lands.', 'The unity of NATO has been weakened by economic rivalry and partially eroded by national interest.']",Neutral
1961,Dwight D Eisenhower,Republican,1,"['The Southeast Asia Treaty Organization has been established; the NATO alliance has been militarily strengthened; the Organization of American States has been further developed as an instrument of inter-American cooperation; the Anzus treaty has strengthened ties with Australia and New Zealand, and a mutual security treaty with Japan has been signed.']",Neutral
1962,John F Kennedy,Democratic,2,"['NATO has increased both the number and the readiness of its air, ground, and naval units-both its nuclear and non-nuclear capabilities.', ""Every member of NATO stands with us in a common commitment to preserve this symbol of free man's will to remain free.""]",Neutral
1963,John F Kennedy,Democratic,2,"['It recognizes further that the nuclear defense of the West is not a matter for the present nuclear powers alone-that France will be such a power in the future-and that ways must be found without increasing the hazards of nuclear diffusion, to increase the role of our other partners in planning, manning, and directing a truly multilateral nuclear force within an increasingly intimate NATO alliance.', 'Finally, the Nassau agreement recognizes that nuclear defense is not enough, that the agreed NATO levels of conventional strength must be met, and that the alliance cannot afford to be in a position of having to answer every threat with nuclear weapons or nothing.']",Neutral
1964,Lyndon B Johnson,Democratic,0,[],NA
1965,Lyndon B Johnson,Democratic,0,[],NA
1966,Lyndon B Johnson,Democratic,0,[],NA
1967,Lyndon B Johnson,Democratic,1,['In Western Europe we shall maintain in NATO an integrated common defense.'],Neutral
1968,Lyndon B Johnson,Democratic,0,[],NA
1969,Lyndon B Johnson,Democratic,0,[],NA
1970,Richard Nixon,Republican,0,[],NA
1971,Richard Nixon,Republican,0,[],NA
1972,Richard Nixon,Republican,0,[],NA
1973,Richard Nixon,Republican,0,[],NA
1974,Richard Nixon,Republican,0,[],NA
1975,Gerald R Ford,Republican,0,[],NA
1976,Gerald R Ford,Republican,0,[],NA
1977,Gerald R Ford,Republican,1,"['Because the security of Europe and the integrity of NATO remain the cornerstone of American defense policy, I have initiated a special, long-term program to ensure the capacity of the Alliance to deter or defeat aggression in Europe.']",Positive
1978,Jimmy Carter,Democratic,0,[],NA
1979,Jimmy Carter,Democratic,1,"['We must maintain our strategic capability and continue the progress of the last 2 years with our NATO Allies, with whom we have increased our readiness, modernized our equipment, and strengthened our defense forces in Europe.']",Neutral
1980,Jimmy Carter,Democratic,2,"[""We've helped to strengthen NATO and our other alliances, and recently we and other NATO members have decided to develop and to deploy modernized, intermediate-range nuclear forces to meet an unwarranted and increased threat from the nuclear weapons of the Soviet Union.""]",Neutral
1981,Jimmy Carter,Democratic,12,"[""RECORD OF PROGRESS When I took office, our Nation faced a number of serious domestic and international problems: -no national energy policy existed, and our dependence on foreign oil was rapidly increasing; -public trust in the integrity and openness of the government was low; -the Federal government was operating inefficiently in administering essential programs and policies; -major social problems were being ignored or poorly addressed by the Federal government; -our defense posture was declining as a result of a defense budget which was continuously shrinking in real terms; -the strength of the NATO Alliance needed to be bolstered; -tensions between Israel and Egypt threatened another Middle East war; and -America's resolve to oppose human rights violations was under serious question."", ""Over the past 48 months, clear progress has been made in solving the challenges we found in January of 1977: -almost all of our comprehensive energy program have been enacted, and the Department of Energy has been established to administer the program; confidence in the government's integrity has been restored, and respect for the government's openness and fairness has been renewed; -the government has been made more effective and efficient: the Civil Service system was completely reformed for the first time this century; -14 reorganization initiatives have been proposed to the Congress, approved, and implemented; -two new Cabinet departments have been created to consolidate and streamline the government's handling of energy and education problems; -inspectors general have been placed in each Cabinet department to combat fraud, waste and other abuses; -the regulatory process has been reformed through creation of the Regulatory Council, implementation of Executive Order 12044 and its requirement for cost-impact analyses, elimination of unnecessary regulation, and passage of the Regulatory Flexibility Act; -procedures have been established to assure citizen participation in government; -and the airline, trucking, rail and communications industries are being deregulated; -critical social problems, many long ignored by the Federal government, have been addressed directly; -an urban policy was developed and implemented to reverse the decline in our urban areas; -the Social Security System was refinanced to put it on a sound financial basis; -the Humphrey-Hawkins Full Employment Act was enacted; -Federal assistance for education was expanded by more than 75 percent; -the minimum wage was increased to levels needed to ease the effects of inflation; -affirmative action has been pursued aggressively; more blacks, Hispanics and women have been appointed to senior government positions and to judgeships than at any other time in our history; -the ERA ratification deadline was extended to aid the ratification effort; -and minority business procurement by the Federal government has more than doubled; -the Nation's first sectoral policies were put in place, for the auto and steel industries, with my Administration demonstrating the value of cooperation between the government, business and labor; -reversing previous trends, real defense spending has increased every year since 1977; -the real increase in FY 1980 defense spending is well above 3 percent and I expect FY 1981 defense spending to be even higher; -looking ahead, the defense program I am proposing is premised on a real increase in defense spending over the next five years of 20 percent or more; -the NATO Alliance has proven its unity in responding to the situations in Eastern Europe and Southwest Asia and in agreeing on the issues to be addressed in the review of the Helsinki Final Act currently underway in Madrid; -the peace process in the Middle East established at Camp David and by the Peace Treaty between Egypt and Israel is being buttressed on two fronts: steady progress in the normalization of Egyptian-Israeli relations in many fields, and the commitment of both Egypt and Israel, with United States' assistance, to see through to successful conclusion the autonomy negotiations for the West Bank and Gaza; -the Panama Canal Treaties have been put into effect, which has helped to improve relations with Latin America; -we have continued this Nation's strong commitment to the pursuit of human rights throughout the world, evenhandedly and objectively; -our commitment to a worldwide human rights policy has remained firm; -and many other countries have given high priority to it; -our resolve to oppose aggression, such as the illegal invasion of the Soviet Union into Afghanistan, has been supported by tough action."", 'It upgrades our forces so that the military balance between NATO and the Warsaw Pact will continue to deter the outbreak of war, conventional or nuclear, in Europe; 3.', 'Finally, our doctrinal evolution has been undertaken with appropriate consultation with our NATO Allies and others.', ""We are fully consistent with NATO's strategy of flexible response."", 'FORCES FOR NATO We are greatly accelerating our ability to reinforce Western Europe with massive ground and air forces in a crisis.', 'RAPID DEPLOYMENT FORCES We are systematically enhancing our ability to respond rapidly to non-NATO contingencies wherever required by our commitments or when our vital interests are threatened.', 'THE ATLANTIC ALLIANCE In recognition of the threat which the Soviet invasion of Afghanistan posed to Western interests in both Europe and Southwest Asia, NATO foreign and defense ministers have expressed full support for U.S. efforts to develop a capability to respond to a contingency in Southwest Asia and have approved an extensive program to help fill the gap which could be created by the diversion of U.S. forces to that region.', 'The NATO alliance also has moved forward during the past year with the implementation of its historic December 1979 decision to modernize its Theater Nuclear Force capabilities through deployment of improved Pershing ballistic missiles and ground-launched cruise missiles in Europe.', 'In the NATO area, we continued to work closely with other countries in providing resources to help Turkey regain economic health.', ""We welcomed the reestablishment of Greece's links to the integrated military command structure of the Atlantic Alliance-a move which we had strongly encouraged-as a major step toward strengthening NATO's vital southern flank at a time of international crisis and tension in adjacent areas."", 'We are also working together to see that those nations most seriously affected by the oil disruption- including our key NATO allies Turkey and Portugal-can get the oil they need.']",Negative
1982,Ronald Reagan,Republican,0,[],NA
1983,Ronald Reagan,Republican,1,"['They unite us in a stewardship of peace and freedom with our allies and friends in NATO, in Asia, in Latin America, and elsewhere.']",Neutral
1984,Ronald Reagan,Republican,1,['Our NATO alliance is strong.'],Neutral
1985,Ronald Reagan,Republican,0,[],NA
1986,Ronald Reagan,Republican,0,[],NA
1987,Ronald Reagan,Republican,0,[],NA
1988,Ronald Reagan,Republican,1,['But the resolve of America and its NATO allies has opened the way for unprecedented achievement in arms reduction.'],Positive
1989,George Bush,Republican,1,['And I look forward to meeting with our NATO partners in the near future.'],Neutral
1990,George Bush,Republican,2,"[""And I've consulted with leaders of NATO."", ""It's designed to protect American and European interests and sustain NATO's defense strategy.""]",Positive
1991,George Bush,Republican,0,[],NA
1992,George Bush,Republican,0,[],NA
1993,William J Clinton,Democratic,0,[],NA
1994,William J Clinton,Democratic,2,['With our allies we have created a Partnership For Peace that invites states from the former Soviet bloc and other non-NATO members to work with NATO in military cooperation.'],Neutral
1995,William J Clinton,Democratic,0,[],NA
1996,William J Clinton,Democratic,1,"['Now our troops and a strong NATO, together with our new partners from central Europe and elsewhere, are helping that peace to take hold.']",Positive
1997,William J Clinton,Democratic,6,"['To that end, we must expand NATO by 1999, so that countries that were once our adversaries can become our allies.', 'At the special NATO summit this summer, that is what we will begin to do.', ""We must strengthen NATO's Partnership For Peace with non-member allies."", 'And we must build a stable partnership between NATO and a democratic Russia.', 'An expanded NATO is good for America, and a Europe in which all democracies define their future not in terms of what they can do to each other but in terms of what they can do together for the good of all-that kind of Europe is good for America.', 'The new NATO force will allow reconstruction and reconciliation to accelerate.']",Neutral
1998,William J Clinton,Democratic,4,"['Within days, I will ask the Senate for its advice and consent to make Hungary, Poland, and the Czech Republic the newest members of NATO.', 'For 50 years, NATO contained communism and kept America and Europe secure.', 'By taking in new members and working closely with new partners, including Russia and Ukraine, NATO can help to assure that Europe is a stronghold for peace in the 21st century.', ""To take firm root, Bosnia's fragile peace still needs the support of American and allied troops when the current NATO mission ends in June.""]",Neutral
1999,William J Clinton,Democratic,2,"['And with our NATO allies, we are pressing the Serbian Government to stop its brutal repression in Kosovo, to bring those responsible to justice, and to give the people of Kosovo the self-government they deserve.', 'We must continue to support security and stability in Europe and Asia, expanding NATO and defining its new missions, maintaining our alliance with Japan, with Korea, with our other Asian allies, and engaging China.']",Neutral
2000,William J Clinton,Democratic,0,[],NA
2001,George W Bush,Republican,0,[],NA
2002,George W Bush,Republican,0,[],NA
2003,George W Bush,Republican,0,[],NA
2004,George W Bush,Republican,0,[],NA
2005,George W Bush,Republican,1,"['In Iraq, 28 countries have troops on the ground, the United Nations and the European Union provided technical assistance for the elections, and NATO is leading a mission to help train Iraqi officers.']",Neutral
2006,George W Bush,Republican,0,[],NA
2007,George W Bush,Republican,2,"['In Afghanistan, Taliban and Al Qaida fighters tried to regain power by regrouping and engaging Afghan and NATO forces.', 'In Afghanistan, NATO has taken the lead in turning back the Taliban and Al Qaida offensive, the first time the Alliance has deployed forces outside the North Atlantic area.']",Neutral
2008,George W Bush,Republican,1,"['In Afghanistan, America, our 25 NATO allies, and 15 partner nations are helping the Afghan people defend their freedom and rebuild their country.']",Positive
2009,Barack Obama,Democratic,0,[],NA
2010,Barack Obama,Democratic,0,[],NA
2011,Barack Obama,Democratic,1,"['With our European allies, we revitalized NATO and increased our cooperation on everything from counterterrorism to missile defense.']",Positive
2012,Barack Obama,Democratic,0,[],NA
2013,Barack Obama,Democratic,0,[],NA
2014,Barack Obama,Democratic,1,"['If the Afghan Government signs a security agreement that we have negotiated, a small force of Americans could remain in Afghanistan with NATO allies to carry out two narrow missions: training and assisting Afghan forces and counterterrorism operations to pursue any remnants of Al Qaida.']",Neutral
2015,Barack Obama,Democratic,1,"[""We're upholding the principle that bigger nations can't bully the small -- by opposing Russian aggression, supporting Ukraine's democracy, and reassuring our NATO allies.""]",Neutral
2016,Barack Obama,Democratic,0,[],NA
2017,Donald J Trump,Republican,2,"['It is American leadership based on vital security interests that we share with our allies all across the globe.We strongly support NATO, an alliance forged through the bonds of two world wars that dethroned fascism, and a cold war, and defeated communism.But our partners must meet their financial obligations.', 'We expect our partners—whether in NATO, the Middle East, or in the Pacific—to take a direct and meaningful role in both strategic and military operations, and pay their fair share of the cost.']",Neutral
2018,Donald J Trump,Republican,0,[],NA
2019,Donald J Trump,Republican,2,"['For years, the United States was being treated very unfairly by NATO -- but now we have secured a $100 billion increase in defense spending from NATO allies.']",Negative
2020,Donald J Trump,Republican,1,"['I have raised contributions from the other NATO members by more than $400 billion, and the number of allies meeting their minimum obligations has more than doubled.']",Neutral
2021,Joseph R Biden,Democratic,1,"['I also told President Xi that we’ll maintain a strong military presence in the Indo-Pacific, just as we do with NATO in Europe—not to start a conflict, but to prevent one.']",Neutral
2022,Joseph R Biden,Democratic,5,"[""That's why the NATO alliance was created- to secure peace and stability in Europe after World War II."", ""He thought the West and NATO wouldn't respond."", 'Our Forces are not going to Europe to fight [in]* Ukraine but to defend our NATO allies in the event that Putin decides to keep moving west.', 'For that purpose, we have mobilized American ground forces, air squadrons, ship deployments to protect NATO countries, including Poland, Romania, Latvia, Lithuania, and Estonia.', ""And as I've made crystal clear, the United States and our allies will defend every inch of territory that is NATO territory with the full force of our collective power—every single inch.""]",Positive
2023,Joseph R Biden,Democratic,1,['We united NATO.'],Positive
