year,name,party,oil,oil_text,oil_sentiment
1915,Woodrow Wilson,Democratic,3,"['The programme to be laid before you contemplates the construction within five years of ten battleships, six battle cruisers, ten scout cruisers, fifty destroyers, fifteen fleet submarines, eighty-five coast submarines, four gunboats, one hospital ship, two ammunition ships, two fuel oil ships, and one repair ship.', 'It is proposed that of this number we shall the first year provide for the construction of two battleships, two battle cruisers, three scout cruisers, fifteen destroyers, five fleet submarines, twenty-five coast submarines, two gunboats, and one hospital ship; the second year, two battleships, one scout cruiser, ten destroyers, four fleet submarines, fifteen coast submarines, one gunboat, and one fuel oil ship; the third year, two battleships, one battle cruiser, two scout cruisers, five destroyers, two fleet sub marines, and fifteen coast submarines; the fourth year, two battleships, two battle cruisers, two scout cruisers, ten destroyers, two fleet submarines, fifteen coast submarines, one ammunition ship, and one fuel oil ship; and the fifth year, two battleships, one battle cruiser, two scout cruisers, ten destroyers, two fleet submarines, fifteen coast submarines, one gunboat, one ammunition ship, and one repair ship.']",Neutral
1916,Woodrow Wilson,Democratic,0,[],NA
1917,Woodrow Wilson,Democratic,0,[],NA
1918,Woodrow Wilson,Democratic,0,[],NA
1919,Woodrow Wilson,Democratic,0,[],NA
1920,Woodrow Wilson,Democratic,0,[],NA
1921,Warren G Harding,Republican,0,"['Under what is known as the coal and gas lease law, applicable also to deposits of phosphates and other minerals on the public domain, leases are now being made on the royalty basis, and are producing large revenues to the Government.']",Neutral
1922,Warren G Harding,Republican,0,[],NA
1923,Calvin Coolidge,Republican,2,['Meantime laws prohibiting spreading oil and oil refuse from vessels in our own territorial waters would be most helpful against this menace and should be speedily enacted.'],Neutral
1924,Calvin Coolidge,Republican,5,"['A special commission also is investigating the problem of petroleum oil for the Navy, considering the best policy to insure the future supply of fuel oil and prevent the threatened drainage of naval oil reserves.', 'Legislative action is required to carry on experiments in oil shale reduction, as large deposits of this type have been set aside for the use of the Navy.', 'It will ever be recognized that their welfare is of the first concern and always entitled to the most solicitous consideration oil the part of their fellow citizens.']",Neutral
1925,Calvin Coolidge,Republican,1,"['In the further pursuit, of strengthening the bonds of peace and good will we have joined with other nations in an international conference held at Geneva and signed an agreement which will be laid before the Senate for ratification providing suitable measures for control and for publicity in international trade in arms, ammunition, and implements of war, and also executed a protocol providing for a prohibition of the use of poison gas in war, in accordance with the principles of Article 5 of the treaty relating thereto signed at the Washington Conference.', 'We are supporting the Pan American efforts that are being made toward the codification of international law, and looking with sympathy oil the investigations conducted under philanthropic auspices of the proposal to agreements outlawing war.']",Neutral
1926,Calvin Coolidge,Republican,0,[],NA
1927,Calvin Coolidge,Republican,0,[],NA
1928,Calvin Coolidge,Republican,4,"['It gas been a method which has performed the seeming miracle of leaving a much greater percentage of earnings in the hands of the taxpayers with scarcely any diminution of the Government revenue.', 'We have a conservation board working on our oil problem.', 'The Secretary of the Interior should not be compelled to lease oil lands of the Osage Indians when the market is depressed and the future supply is in jeopardy.', 'SPECIAL GOVERNMENT COUNSEL In order to prosecute the oil cases, I suggested and the Congress enacted a law providing for the appointment of two special counsel.']",Neutral
1929,Herbert Hoover,Republican,3,"['Conservation of our oil and gas resources against future need is a national necessity.', 'The working of the oil permit system in development of oil and gas resources on the public domain has been subject to great abuse.']",Neutral
1930,Herbert Hoover,Republican,0,[],NA
1931,Herbert Hoover,Republican,1,"['In recent years there has been continued demoralization in the bituminous coal, oil, and lumber industries.']",Neutral
1932,Herbert Hoover,Republican,0,[],NA
1934,Franklin D Roosevelt,Democratic,0,[],NA
1935,Franklin D Roosevelt,Democratic,0,[],NA
1936,Franklin D Roosevelt,Democratic,0,[],NA
1937,Franklin D Roosevelt,Democratic,0,[],NA
1938,Franklin D Roosevelt,Democratic,0,[],NA
1939,Franklin D Roosevelt,Democratic,0,[],NA
1940,Franklin D Roosevelt,Democratic,0,[],NA
1941,Franklin D Roosevelt,Democratic,0,[],NA
1942,Franklin D Roosevelt,Democratic,0,[],NA
1943,Franklin D Roosevelt,Democratic,0,[],NA
1944,Franklin D Roosevelt,Democratic,0,[],NA
1945,Franklin D Roosevelt,Democratic,0,[],NA
1946,Harry S Truman,Democratic,0,[],NA
1947,Harry S Truman,Democratic,1,"['The paralyzing effects of a nationwide strike in such industries as transportation, coal, oil, steel, or communications can result in national disaster.']",Neutral
1948,Harry S Truman,Democratic,0,[],NA
1949,Harry S Truman,Democratic,0,[],NA
1950,Harry S Truman,Democratic,0,[],NA
1951,Harry S Truman,Democratic,0,[],NA
1952,Harry S Truman,Democratic,1,['In the Middle East political tensions and the oil controversy in Iran are keeping the region in a turmoil.'],Neutral
1953,Harry S Truman,Democratic,1,"[""We have been vigilant in protecting the people's property-lands and forests and oil and minerals.""]",Neutral
1953,Harry S Truman,Democratic,1,[],NA
1953,Dwight D Eisenhower,Republican,0,"[""We have been vigilant in protecting the people's property-lands and forests and oil and minerals.""]",Neutral
1953,Dwight D Eisenhower,Republican,0,[],NA
1954,Dwight D Eisenhower,Republican,0,[],NA
1955,Dwight D Eisenhower,Republican,0,[],NA
1956,Dwight D Eisenhower,Republican,0,[],NA
1957,Dwight D Eisenhower,Republican,2,"['But these people, whose economic strength is largely dependent on free and uninterrupted movement of oil from the Middle East, cannot prosper-indeed, their economies would be severely impaired-should that area be controlled by an enemy and the movement of oil be subject to its decisions.']",Neutral
1958,Dwight D Eisenhower,Republican,0,[],NA
1959,Dwight D Eisenhower,Republican,0,[],NA
1960,Dwight D Eisenhower,Republican,0,[],NA
1961,John F Kennedy,Democratic,0,[],NA
1961,John F Kennedy,Democratic,0,[],NA
1961,Dwight D Eisenhower,Republican,0,[],NA
1961,Dwight D Eisenhower,Republican,0,[],NA
1962,John F Kennedy,Democratic,0,[],NA
1963,John F Kennedy,Democratic,0,[],NA
1964,Lyndon B Johnson,Democratic,0,[],NA
1965,Lyndon B Johnson,Democratic,0,[],NA
1966,Lyndon B Johnson,Democratic,0,[],NA
1967,Lyndon B Johnson,Democratic,0,"['We should immediately take steps to prevent massive power failures, to safeguard the home against hazardous household products, and to assure safety in the pipelines that carry natural gas across our Nation.']",Neutral
1968,Lyndon B Johnson,Democratic,0,[],NA
1969,Lyndon B Johnson,Democratic,0,[],NA
1970,Richard Nixon,Republican,0,[],NA
1971,Richard Nixon,Republican,0,[],NA
1972,Richard Nixon,Republican,0,[],NA
1973,Richard Nixon,Republican,0,[],NA
1974,Richard Nixon,Republican,3,"['Because of this hopeful development, I can announce tonight that I have been assured, through my personal contacts with friendly leaders in the Middle Eastern area, that an urgent meeting will be called in the immediate future to discuss the lifting of the oil embargo.', 'These measures will require the oil companies and other energy producers to provide the public with the necessary information on their supplies.', 'And having in mind the energy crisis to which I have referred to earlier, we will be working with the other nations of the world toward agreement on means by which oil supplies can be assured at reasonable prices on a stable basis in a fair way to the consuming and producing nations alike.']",Neutral
1975,Gerald R Ford,Republican,19,"[""During the 1960's, this country had a surplus capacity of crude oil which we were able to make available to our trading partners whenever there was a disruption of supply."", 'This surplus capacity enabled us to influence both supplies and prices of crude oil throughout the world.', 'Our excess capacity neutralized any effort at establishing an effective cartel, and thus the rest of the world was assured of adequate supplies of oil at reasonable prices.', 'By 1970, our surplus capacity had vanished, and as a consequence, the latent power of the oil cartel could emerge in full force.', 'Europe and Japan, both heavily dependent on imported oil, now struggle to keep their economies in balance.', 'I am recommending a plan to make us invulnerable to cutoffs of foreign oil.', 'I have set the following national energy goals to assure that our future is as secure and as productive as our past: First, we must reduce oil imports by 1 million barrels per day by the end of this year and by 2 million barrels per day by the end of 1977.', 'Therefore, I am using Presidential powers to raise the fee on all imported crude oil and petroleum products.', 'The crude oil fee level will be increased $1 per barrel on February 1, by $2 per barrel on March 1, and by $3 per barrel on April 1.', 'It includes: excise taxes and import fees totaling $2 per barrel on product imports and on all crude oil; deregulation of new natural gas and enactment of a natural gas excise tax.', 'I plan to take Presidential initiative to decontrol the price of domestic crude oil on April 1.', 'I urge the Congress to enact a windfall profits tax by that date to ensure that oil producers do not profit unduly.', 'The sooner Congress acts, the more effective the oil conservation program will be and the quicker the Federal revenues can be returned to our people.', 'The largest part of increased oil production must come from new frontier areas on the Outer Continental Shelf and from the Naval Petroleum Reserve No.', 'I am therefore recommending that the 1-year investment tax credit of 12 percent be extended an additional 2 years to specifically speed the construction of powerplants that do not use natural gas or oil.', 'I therefore propose to the Congress: legislation to make thermal efficiency standards mandatory for all new buildings in the United States; a new tax credit of up to $150 for those homeowners who install insulation equipment; the establishment of an energy conservation program to help low-income families purchase insulation supplies; legislation to modify and defer automotive pollution standards for 5 years, which will enable us to improve automobile gas mileage by 40 percent by 1980.', 'To make the United States invulnerable to foreign disruption, I propose standby emergency legislation and a strategic storage program of 1 billion barrels of oil for domestic needs and 300 million barrels for national defense purposes.', 'I have established a goal of 1 million barrels of synthetic fuels and shale oil production per day by 1985 together with an incentive program to achieve it.', 'Within the next 10 years, my program envisions: 200 major nuclear powerplants; 250 major new coal mines; 150 major coal-fired powerplants; 30 major new refineries; 20 major new synthetic fuel plants; the drilling of many thousands of new oil wells; the insulation of 18 million homes; and the manufacturing and the sale of millions of new automobiles, trucks, and buses that use much less fuel.']",Neutral
1976,Gerald R Ford,Republican,3,"['Domestic production of oil and gas is still declining.', 'Our dependence on foreign oil at high prices is still too great, draining jobs and dollars away from our own economy at the rate of $125 per year for every American.', 'I again urge the Congress to move ahead immediately on the remainder of my energy proposals to make America invulnerable to the foreign oil cartel.', 'My proposals, as all of you know, would reduce domestic natural gas shortages; allow production from Federal petroleum reserves; stimulate effective conservation, including revitalization of our railroads and the expansion of our urban transportation systems; develop more and cleaner energy from our vast coal resources; expedite clean and safe nuclear power production; create a new national energy independence authority to stimulate vital energy investment; and accelerate development of technology to capture energy from the Sun and the Earth for this and future generations.']",Neutral
1977,Gerald R Ford,Republican,5,"['In 1973 we were dependent upon foreign oil imports for 36 percent of our needs.', ""Today, we are 40-percent dependent, and we'll pay out $34 billion for foreign oil this year."", 'We have moved forward to develop the naval petroleum reserves; to build a 500-million barrel strategic petroleum stockpile; to phase out unnecessary Government allocation and price controls; to develop a lasting relationship with other oil consuming nations; to improve the efficiency of energy use through conservation in automobiles, buildings, and industry; and to expand research on new technology and renewable resources such as wind power, geothermal and solar energy.', 'These include programs to reverse our declining production of natural gas and increase incentives for domestic crude oil production.', 'We must explore every reasonable prospect for meeting our energy needs when our current domestic reserves of oil and natural gas begin to dwindle in the next decade.']",Neutral
1978,Jimmy Carter,Democratic,3,"['Every day we spend more than $120 million for foreign oil.', 'Almost 5 years after the oil embargo dramatized the problem for us all, we still do not have a national energy program.', 'Last fall, with the help of others, we succeeded in our vigorous efforts to maintain the stability of the price of oil.']",Neutral
1979,Jimmy Carter,Democratic,0,[],NA
1980,Jimmy Carter,Democratic,13,"['Three basic developments have helped to shape our challenges: the steady growth and increased projection of Soviet military power beyond its own borders; the overwhelming dependence of the Western democracies on oil supplies from the Middle East; and the press of social and religious and economic and political change in the many nations of the developing world, exemplified by the revolution in Iran.', ""The region which is now threatened by Soviet troops in Afghanistan is of great strategic importance: It contains more than two-thirds of the world's exportable oil."", ""The Soviet effort to dominate Afghanistan has brought Soviet military forces to within 300 miles of the Indian Ocean and close to the Straits of Hormuz, a waterway through which most of the world's oil must flow."", 'The Soviet Union is now attempting to consolidate a strategic position, therefore, that poses a grave threat to the free movement of Middle East oil.', 'It demands the participation of all those who rely on oil from the Middle East and who are concerned with global peace and stability.', ""The crises in Iran and Afghanistan have dramatized a very important lesson: Our excessive dependence on foreign oil is a clear and present danger to our Nation's security."", ""Our Nation will then have a major conservation effort, important initiatives to develop solar power, realistic pricing based on the true value of oil, strong incentives for the production of coal and other fossil fuels in the United States, and our Nation's most massive peacetime investment in the development of synthetic fuels."", ""I've established an import ceiling for 1980 of 8.2 million barrels a day-well below the level of foreign oil purchases in 1977."", 'I expect our imports to be much lower than this, but the ceiling will be enforced by an oil import fee if necessary.', 'The single biggest factor in the inflation rate last year, the increase in the inflation rate last year, was from one cause: the skyrocketing prices of OPEC oil.']",Positive
1981,Jimmy Carter,Democratic,40,"['A national energy plan is in place and our dependence on foreign oil is decreasing.', 'The world oil market is increasingly tight.', ""RECORD OF PROGRESS When I took office, our Nation faced a number of serious domestic and international problems: -no national energy policy existed, and our dependence on foreign oil was rapidly increasing; -public trust in the integrity and openness of the government was low; -the Federal government was operating inefficiently in administering essential programs and policies; -major social problems were being ignored or poorly addressed by the Federal government; -our defense posture was declining as a result of a defense budget which was continuously shrinking in real terms; -the strength of the NATO Alliance needed to be bolstered; -tensions between Israel and Egypt threatened another Middle East war; and -America's resolve to oppose human rights violations was under serious question."", 'The most dramatic of these has been the explosive increases of OPEC oil prices.', 'An effective national energy plan is essential to increase domestic production of oil and gas, to encourage conservation of our scarce energy resources, to stimulate conversion to more abundant fuels, and to reduce our trade deficit.', 'While our oil imports remained a major drain on our foreign exchange earnings, that drain was somewhat moderated by a 19 percent decline in the volume of oil imports.', 'The struggle to achieve that policy has been long and difficult, but the accomplishments of the past four years make clear that our country is finally serious about the problems caused by our overdependence on foreign oil.', 'We must rely on and encourage multiple forms of energy production-coal, crude oil, natural gas, solar, nuclear, synthetics-and energy conservation.', 'NATIONAL ENERGY POLICY As a result of actions my Administration and the Congress have taken over the past four years, our country finally has a national energy policy: Under my program of phased decontrol, domestic crude oil price controls will end September 30, 1981.', 'As a result exploratory drilling activities have reached an all-time high; Prices for new natural gas are being decontrolled under the Natural Gas Policy Act-and natural gas production is now at an all time high; the supply shortages of several years ago have been eliminated; The windfall profits tax on crude oil has been enacted providing $227 billion over ten years for assistance to low-income households, increased mass transit funding, and a massive investment in the production and development of alternative energy sources; The Synthetic Fuels Corporation has been established to help private companies build the facilities to produce energy from synthetic fuels; Solar energy funding has been quadrupled, solar energy tax credits enacted, and a Solar Energy and Energy Conservation Bank has been established; A route has been chosen to bring natural gas from the North Slope of Alaska to the lower 48 states; Coal production and consumption incentives have been increased, and coal production is now at its highest level in history; A gasoline rationing plan has been approved by Congress for possible use in the event of a severe energy supply shortage or interruption; Gasohol production has been dramatically increased, with a program being put in place to produce 500 million gallons of alcohol fuel by the end of this year-an amount that could enable gasohol to meet the demand for 10 percent of all unleaded gasoline; New energy conservation incentives have been provided for individuals, businesses and communities and conservation has increased dramatically.', 'The U.S. has reduced oil imports by 25 percent-or 2 million barrels per day-over the past four years.', 'Leasing of oil and natural gas on federal lands, particularly the outer continental shelf, has been accelerated at the same time as the Administration has reformed leasing procedures through the 1978 amendments to the Outer Continental Shelf Lands Act.', 'The Corporation is designed to spur the development of commercial technologies for production of synthetic fuels, such as liquid and gaseous fuels from coal and the production of oil from oil shale.', 'This increase in efficiency represents a savings of over 1.3 million barrels per day of oil equivalent, about the level of total oil production now occurring in Alaska.', 'I have therefore supported requirements that 50 percent of oil purchased for the strategic petroleum reserve be transported in U.S.-flag vessels, that the Cargo Preference Act be applied to materials furnished for the U.S. assisted construction of air bases in Israel, and to cargoes transported pursuant to the Chrysler Corporation Loan Guarantee Act.', ""The Alaska Lands Act reaffirms our commitment to the environment and strikes a balance between protecting areas of great beauty and allowing development of Alaska's oil, gas, mineral, and timber resources."", '-the overwhelming dependence of Western nations, which now increasingly includes the United States, on vital oil supplies from the Middle East.', 'The Soviet invasion of Afghanistan is a threat to global peace, to East-West relations, and to regional stable flow of oil.', 'Turmoil within the region adjacent to the Persian Gulf poses risks for the security and prosperity of every oil importing nation and thus for the entire global economy.', 'Price decontrol for oil and gas is proceeding.', ""Today it produces two-thirds of the world's oil exports, providing most of the energy needs of our European allies and Japan."", 'It has become essential in recent years for its supply of oil to the United States, our allies, and our friends.', ""However, there is little doubt that the healthy growth of our American and world economies will depend for many years on continued safe access to the Persian Gulf's oil production."", 'The denial of these oil supplies would threaten not only our own but world security.', 'The potent new threat from an advancing Soviet Union, against the background of regional instability of which it can take advantage, requires that we reinforce our ability to defend our regional friends and to protect the flow of oil.', 'Nigeria is the largest country in Black Africa and the second largest oil supplier to the United States.', 'Mexico and Venezuela jointly and Trinidad and Tobago separately have established oil facilities that will provide substantial assistance to their oil importing neighbors.', 'ENERGY Last year, the war between Iraq and Iran led to the loss of nearly 4 million barrels of oil to world markets, the third major oil market disruption in the past seven years.', 'This crisis has vividly demonstrated once again both the value of lessened dependence on oil imports and the continuing instability of the Persian Gulf area.', 'Under the leadership of the United States, the 21 members of the International Energy Agency took collective action to ensure that the oil shortfall stemming from the Iran-Iraq war would not be aggravated by competition for scarce spot market supplies.', 'We are also working together to see that those nations most seriously affected by the oil disruption- including our key NATO allies Turkey and Portugal-can get the oil they need.', 'At the most recent IEA Ministerial meeting we joined the other members in pledging to take those policy measures necessary to slice our joint oil imports in the first quarter of 1981 by 2.2 million barrels.', 'INTERNATIONAL MONETARY POLICY Despite the rapid increase in oil costs, the policy measures we have taken to improve domestic economic performance have had a continued powerful effect on our external accounts and on the strength of the dollar.']",Neutral
1982,Ronald Reagan,Republican,1,"[""By deregulating oil we've come closer to achieving energy independence and helped bring down the cost of gasoline and heating fuel.""]",Neutral
1983,Ronald Reagan,Republican,0,[],NA
1984,Ronald Reagan,Republican,0,[],NA
1985,Ronald Reagan,Republican,0,['We seek to fully deregulate natural gas to bring on new supplies and bring us closer to energy independence.'],Neutral
1986,Ronald Reagan,Republican,0,[],NA
1987,Ronald Reagan,Republican,0,[],NA
1988,Ronald Reagan,Republican,0,[],NA
1989,George Bush,Republican,2,"['And in some cases, the gulfs and oceans off our shores hold the promise of oil and gas reserves which can make our nation more secure and less dependent on foreign oil.']",Neutral
1990,George Bush,Republican,0,[],NA
1991,George Bush,Republican,1,"[""They know we must make sure that control of the world's oil resources does not fall into his hands, only to finance further aggression.""]",Neutral
1992,George Bush,Republican,0,[],NA
1993,William J Clinton,Democratic,0,"[""Unlike a carbon tax, that's not too hard on the coal States; unlike a gas tax, that's not too tough on people who drive a long way to work; unlike an ad valorem tax, it doesn't increase just when the price of an energy source goes up.""]",Neutral
1994,William J Clinton,Democratic,0,[],NA
1995,William J Clinton,Democratic,0,[],NA
1996,William J Clinton,Democratic,0,"['As we remember what happened in the Japanese subway, we can outlaw poison gas forever if the Senate ratifies the Chemical Weapons Convention this year.']",Neutral
1997,William J Clinton,Democratic,0,"['Together we must make the Chemical Weapons Convention law, so that at last we can begin to outlaw poison gas from the Earth.']",Neutral
1998,William J Clinton,Democratic,0,"['Last year the Senate ratified the Chemical Weapons Convention to protect our soldiers and citizens from poison gas.', 'This past December, America led the world to reach a historic agreement committing our Nation to reduce greenhouse gas emissions through market forces, new technologies, energy efficiency.']",Neutral
1999,William J Clinton,Democratic,0,[],NA
2000,William J Clinton,Democratic,0,"['Many people in the United States, some people in this Chamber, and lots of folks around the world still believe you cannot cut greenhouse gas emissions without slowing economic growth.']",Neutral
2001,George W Bush,Republican,0,"['Now, $1,600 may not sound like a lot to some, but it means a lot to many families: $1,600 buys gas for two cars for an entire year; it pays tuition for a year at a community college; it pays the average family grocery bill for 3 months.']",Neutral
2002,George W Bush,Republican,1,"['The Iraqi regime has plotted to develop anthrax and nerve gas and nuclear weapons for over a decade.', 'This is a regime that has already used poison gas to murder thousands of its own citizens, leaving the bodies of mothers huddled over their dead children.', 'This Congress must act to encourage conservation, promote technology, build infrastructure, and it must act to increase energy production at home so America is less dependent on foreign oil.']",Positive
2003,George W Bush,Republican,0,[],NA
2004,George W Bush,Republican,0,[],NA
2005,George W Bush,Republican,0,[],NA
2006,George W Bush,Republican,3,"['And here we have a serious problem: America is addicted to oil, which is often imported from unstable parts of the world.', 'Breakthroughs on this and other new technologies will help us reach another great goal: to replace more than 75 percent of our oil imports from the Middle East by 2025.', 'By applying the talent and technology of America, this country can dramatically improve our environment, move beyond a petroleum-based economy, and make our dependence on Middle Eastern oil a thing of the past.']",Positive
