Country,Year,Mentions,Party,President
Prussia,1791,0,Other,George Washington
Australia,1791,0,Other,George Washington
Ukraine,1791,0,Other,George Washington
Hungary,1791,0,Other,George Washington
Lebanon,1791,0,Other,George Washington
North Korea,1791,0,Other,George Washington
Guatemala,1791,0,Other,George Washington
Haiti,1791,0,Other,George Washington
Switzerland,1791,0,Other,George Washington
Syria,1791,0,Other,George Washington
Morocco,1791,0,Other,George Washington
The Dominican Republic,1791,0,Other,George Washington
New Zealand,1791,0,Other,George Washington
Palestine,1791,0,Other,George Washington
Bulgaria,1791,0,Other,George Washington
Ireland,1791,0,Other,George Washington
Bosnia,1791,0,Other,George Washington
Armenia,1791,0,Other,George Washington
El Salvador,1791,0,Other,George Washington
Indonesia,1791,0,Other,George Washington
Kosovo,1791,0,Other,George Washington
Laos,1791,0,Other,George Washington
Nigeria,1791,0,Other,George Washington
Yemen,1791,0,Other,George Washington
Czechoslovakia,1791,0,Other,George Washington
Northern Ireland,1791,0,Other,George Washington
Somalia,1791,0,Other,George Washington
Uruguay,1791,0,Other,George Washington
Cambodia,1791,0,Other,George Washington
Saudi Arabia,1791,0,Other,George Washington
South Africa,1791,0,Other,George Washington
Yugoslavia,1791,0,Other,George Washington
Finland,1791,0,Other,George Washington
Thailand,1791,0,Other,George Washington
Jordan,1791,0,Other,George Washington
Kuwait,1791,0,Other,George Washington
Lithuania,1791,0,Other,George Washington
Sudan,1791,0,Other,George Washington
Taiwan,1791,0,Other,George Washington
United States of America,1792,4,Other,George Washington
Mexico,1792,0,Other,George Washington
Great Britain,1792,0,Other,George Washington
Spain,1792,0,Other,George Washington
France,1792,0,Other,George Washington
China,1792,0,Other,George Washington
Cuba,1792,0,Other,George Washington
Russia,1792,0,Other,George Washington
Japan,1792,0,Other,George Washington
Germany,1792,0,Other,George Washington
South Korea,1792,0,Other,George Washington
United Kingdom,1792,0,Other,George Washington
Iraq,1792,0,Other,George Washington
Philippines,1792,0,Other,George Washington
Nicaragua,1792,0,Other,George Washington
Afghanistan,1792,0,Other,George Washington
Canada,1792,0,Other,George Washington
Brazil,1792,0,Other,George Washington
Venezuela,1792,0,Other,George Washington
Iran,1792,0,Other,George Washington
Turkey,1792,0,Other,George Washington
Peru,1792,0,Other,George Washington
Vietnam,1792,0,Other,George Washington
Panama,1792,0,Other,George Washington
Italy,1792,0,Other,George Washington
Portugal,1792,0,Other,George Washington
Chile,1792,0,Other,George Washington
Austria,1792,0,Other,George Washington
Colombia,1792,0,Other,George Washington
Netherlands,1792,0,Other,George Washington
Denmark,1792,0,Other,George Washington
Israel,1792,0,Other,George Washington
Egypt,1792,0,Other,George Washington
Belgium,1792,0,Other,George Washington
Sweden,1792,0,Other,George Washington
Costa Rica,1792,0,Other,George Washington
Argentina,1792,0,Other,George Washington
Liberia,1792,0,Other,George Washington
Greece,1792,0,Other,George Washington
Poland,1792,0,Other,George Washington
Bolivia,1792,0,Other,George Washington
Honduras,1792,0,Other,George Washington
India,1792,0,Other,George Washington
Geneva,1792,0,Other,George Washington
Ecuador,1792,0,Other,George Washington
Pakistan,1792,0,Other,George Washington
The West Indies,1792,0,Other,George Washington
Libya,1792,0,Other,George Washington
Norway,1792,0,Other,George Washington
Prussia,1792,0,Other,George Washington
Australia,1792,0,Other,George Washington
Ukraine,1792,0,Other,George Washington
Hungary,1792,0,Other,George Washington
Lebanon,1792,0,Other,George Washington
North Korea,1792,0,Other,George Washington
Guatemala,1792,0,Other,George Washington
Haiti,1792,0,Other,George Washington
Switzerland,1792,0,Other,George Washington
Syria,1792,0,Other,George Washington
Morocco,1792,0,Other,George Washington
The Dominican Republic,1792,0,Other,George Washington
New Zealand,1792,0,Other,George Washington
Palestine,1792,0,Other,George Washington
Bulgaria,1792,0,Other,George Washington
Ireland,1792,0,Other,George Washington
Bosnia,1792,0,Other,George Washington
Armenia,1792,0,Other,George Washington
El Salvador,1792,0,Other,George Washington
Indonesia,1792,0,Other,George Washington
Kosovo,1792,0,Other,George Washington
Laos,1792,0,Other,George Washington
Nigeria,1792,0,Other,George Washington
Yemen,1792,0,Other,George Washington
Czechoslovakia,1792,0,Other,George Washington
Northern Ireland,1792,0,Other,George Washington
Somalia,1792,0,Other,George Washington
Uruguay,1792,0,Other,George Washington
Cambodia,1792,0,Other,George Washington
Saudi Arabia,1792,0,Other,George Washington
South Africa,1792,0,Other,George Washington
Yugoslavia,1792,0,Other,George Washington
Finland,1792,0,Other,George Washington
Thailand,1792,0,Other,George Washington
Jordan,1792,0,Other,George Washington
Kuwait,1792,0,Other,George Washington
Lithuania,1792,0,Other,George Washington
Sudan,1792,0,Other,George Washington
Taiwan,1792,0,Other,George Washington
United States of America,1793,23,Other,George Washington
Mexico,1793,0,Other,George Washington
Great Britain,1793,0,Other,George Washington
Spain,1793,0,Other,George Washington
France,1793,1,Other,George Washington
China,1793,0,Other,George Washington
Cuba,1793,0,Other,George Washington
Russia,1793,0,Other,George Washington
Japan,1793,0,Other,George Washington
Germany,1793,0,Other,George Washington
South Korea,1793,0,Other,George Washington
United Kingdom,1793,0,Other,George Washington
Iraq,1793,0,Other,George Washington
Philippines,1793,0,Other,George Washington
Nicaragua,1793,0,Other,George Washington
Afghanistan,1793,0,Other,George Washington
Canada,1793,0,Other,George Washington
Brazil,1793,0,Other,George Washington
Venezuela,1793,0,Other,George Washington
Iran,1793,0,Other,George Washington
Turkey,1793,0,Other,George Washington
Peru,1793,0,Other,George Washington
Vietnam,1793,0,Other,George Washington
Panama,1793,0,Other,George Washington
Italy,1793,0,Other,George Washington
Portugal,1793,0,Other,George Washington
Chile,1793,0,Other,George Washington
Austria,1793,0,Other,George Washington
Colombia,1793,0,Other,George Washington
Netherlands,1793,1,Other,George Washington
Denmark,1793,0,Other,George Washington
Israel,1793,0,Other,George Washington
Egypt,1793,0,Other,George Washington
Belgium,1793,0,Other,George Washington
Sweden,1793,0,Other,George Washington
Costa Rica,1793,0,Other,George Washington
Argentina,1793,0,Other,George Washington
Liberia,1793,0,Other,George Washington
Greece,1793,0,Other,George Washington
Poland,1793,0,Other,George Washington
Bolivia,1793,0,Other,George Washington
Honduras,1793,0,Other,George Washington
India,1793,0,Other,George Washington
Geneva,1793,0,Other,George Washington
Ecuador,1793,0,Other,George Washington
Pakistan,1793,0,Other,George Washington
The West Indies,1793,0,Other,George Washington
Libya,1793,0,Other,George Washington
Norway,1793,0,Other,George Washington
Prussia,1793,0,Other,George Washington
Australia,1793,0,Other,George Washington
Ukraine,1793,0,Other,George Washington
Hungary,1793,0,Other,George Washington
Lebanon,1793,0,Other,George Washington
North Korea,1793,0,Other,George Washington
Guatemala,1793,0,Other,George Washington
Haiti,1793,0,Other,George Washington
Switzerland,1793,0,Other,George Washington
Syria,1793,0,Other,George Washington
Morocco,1793,0,Other,George Washington
The Dominican Republic,1793,0,Other,George Washington
New Zealand,1793,0,Other,George Washington
Palestine,1793,0,Other,George Washington
Bulgaria,1793,0,Other,George Washington
Ireland,1793,0,Other,George Washington
Bosnia,1793,0,Other,George Washington
Armenia,1793,0,Other,George Washington
El Salvador,1793,0,Other,George Washington
Indonesia,1793,0,Other,George Washington
Kosovo,1793,0,Other,George Washington
Laos,1793,0,Other,George Washington
Nigeria,1793,0,Other,George Washington
Yemen,1793,0,Other,George Washington
Czechoslovakia,1793,0,Other,George Washington
Northern Ireland,1793,0,Other,George Washington
Somalia,1793,0,Other,George Washington
Uruguay,1793,0,Other,George Washington
Cambodia,1793,0,Other,George Washington
Saudi Arabia,1793,0,Other,George Washington
South Africa,1793,0,Other,George Washington
Yugoslavia,1793,0,Other,George Washington
Finland,1793,0,Other,George Washington
Thailand,1793,0,Other,George Washington
Jordan,1793,0,Other,George Washington
Kuwait,1793,0,Other,George Washington
Lithuania,1793,0,Other,George Washington
Sudan,1793,0,Other,George Washington
Taiwan,1793,0,Other,George Washington
United States of America,1794,15,Other,George Washington
Mexico,1794,0,Other,George Washington
Great Britain,1794,0,Other,George Washington
Spain,1794,0,Other,George Washington
France,1794,0,Other,George Washington
China,1794,0,Other,George Washington
Cuba,1794,0,Other,George Washington
Russia,1794,0,Other,George Washington
Japan,1794,0,Other,George Washington
Germany,1794,0,Other,George Washington
South Korea,1794,0,Other,George Washington
United Kingdom,1794,0,Other,George Washington
Iraq,1794,0,Other,George Washington
Philippines,1794,0,Other,George Washington
Nicaragua,1794,0,Other,George Washington
Afghanistan,1794,0,Other,George Washington
Canada,1794,0,Other,George Washington
Brazil,1794,0,Other,George Washington
Venezuela,1794,0,Other,George Washington
Iran,1794,0,Other,George Washington
Turkey,1794,0,Other,George Washington
Peru,1794,0,Other,George Washington
Vietnam,1794,0,Other,George Washington
Panama,1794,0,Other,George Washington
Italy,1794,0,Other,George Washington
Portugal,1794,0,Other,George Washington
Chile,1794,0,Other,George Washington
Austria,1794,0,Other,George Washington
Colombia,1794,0,Other,George Washington
Netherlands,1794,0,Other,George Washington
Denmark,1794,0,Other,George Washington
Israel,1794,0,Other,George Washington
Egypt,1794,0,Other,George Washington
Belgium,1794,0,Other,George Washington
Sweden,1794,0,Other,George Washington
Costa Rica,1794,0,Other,George Washington
Argentina,1794,0,Other,George Washington
Liberia,1794,0,Other,George Washington
Greece,1794,0,Other,George Washington
Poland,1794,0,Other,George Washington
Bolivia,1794,0,Other,George Washington
Honduras,1794,0,Other,George Washington
India,1794,0,Other,George Washington
Geneva,1794,0,Other,George Washington
Ecuador,1794,0,Other,George Washington
Pakistan,1794,0,Other,George Washington
The West Indies,1794,0,Other,George Washington
Libya,1794,0,Other,George Washington
Norway,1794,0,Other,George Washington
Prussia,1794,0,Other,George Washington
Australia,1794,0,Other,George Washington
Ukraine,1794,0,Other,George Washington
Hungary,1794,0,Other,George Washington
Lebanon,1794,0,Other,George Washington
North Korea,1794,0,Other,George Washington
Guatemala,1794,0,Other,George Washington
Haiti,1794,0,Other,George Washington
Switzerland,1794,0,Other,George Washington
Syria,1794,0,Other,George Washington
Morocco,1794,0,Other,George Washington
The Dominican Republic,1794,0,Other,George Washington
New Zealand,1794,0,Other,George Washington
Palestine,1794,0,Other,George Washington
Bulgaria,1794,0,Other,George Washington
Ireland,1794,0,Other,George Washington
Bosnia,1794,0,Other,George Washington
Armenia,1794,0,Other,George Washington
El Salvador,1794,0,Other,George Washington
Indonesia,1794,0,Other,George Washington
Kosovo,1794,0,Other,George Washington
Laos,1794,0,Other,George Washington
Nigeria,1794,0,Other,George Washington
Yemen,1794,0,Other,George Washington
Czechoslovakia,1794,0,Other,George Washington
Northern Ireland,1794,0,Other,George Washington
Somalia,1794,0,Other,George Washington
Uruguay,1794,0,Other,George Washington
Cambodia,1794,0,Other,George Washington
Saudi Arabia,1794,0,Other,George Washington
South Africa,1794,0,Other,George Washington
Yugoslavia,1794,0,Other,George Washington
Finland,1794,0,Other,George Washington
Thailand,1794,0,Other,George Washington
Jordan,1794,0,Other,George Washington
Kuwait,1794,0,Other,George Washington
Lithuania,1794,0,Other,George Washington
Sudan,1794,0,Other,George Washington
Taiwan,1794,0,Other,George Washington
United States of America,1795,5,Other,George Washington
Mexico,1795,0,Other,George Washington
Great Britain,1795,1,Other,George Washington
Spain,1795,0,Other,George Washington
France,1795,0,Other,George Washington
China,1795,0,Other,George Washington
Cuba,1795,0,Other,George Washington
Russia,1795,0,Other,George Washington
Japan,1795,0,Other,George Washington
Germany,1795,0,Other,George Washington
South Korea,1795,0,Other,George Washington
United Kingdom,1795,0,Other,George Washington
Iraq,1795,0,Other,George Washington
Philippines,1795,0,Other,George Washington
Nicaragua,1795,0,Other,George Washington
Afghanistan,1795,0,Other,George Washington
Canada,1795,0,Other,George Washington
Brazil,1795,0,Other,George Washington
Venezuela,1795,0,Other,George Washington
Iran,1795,0,Other,George Washington
Turkey,1795,0,Other,George Washington
Peru,1795,0,Other,George Washington
Vietnam,1795,0,Other,George Washington
Panama,1795,0,Other,George Washington
Italy,1795,0,Other,George Washington
Portugal,1795,0,Other,George Washington
Chile,1795,0,Other,George Washington
Austria,1795,0,Other,George Washington
Colombia,1795,0,Other,George Washington
Netherlands,1795,0,Other,George Washington
Denmark,1795,0,Other,George Washington
Israel,1795,0,Other,George Washington
Egypt,1795,0,Other,George Washington
Belgium,1795,0,Other,George Washington
Sweden,1795,0,Other,George Washington
Costa Rica,1795,0,Other,George Washington
Argentina,1795,0,Other,George Washington
Liberia,1795,0,Other,George Washington
Greece,1795,0,Other,George Washington
Poland,1795,0,Other,George Washington
Bolivia,1795,0,Other,George Washington
Honduras,1795,0,Other,George Washington
India,1795,0,Other,George Washington
Geneva,1795,0,Other,George Washington
Ecuador,1795,0,Other,George Washington
Pakistan,1795,0,Other,George Washington
The West Indies,1795,0,Other,George Washington
Libya,1795,0,Other,George Washington
Norway,1795,0,Other,George Washington
Prussia,1795,0,Other,George Washington
Australia,1795,0,Other,George Washington
Ukraine,1795,0,Other,George Washington
Hungary,1795,0,Other,George Washington
Lebanon,1795,0,Other,George Washington
North Korea,1795,0,Other,George Washington
Guatemala,1795,0,Other,George Washington
Haiti,1795,0,Other,George Washington
Switzerland,1795,0,Other,George Washington
Syria,1795,0,Other,George Washington
Morocco,1795,1,Other,George Washington
The Dominican Republic,1795,0,Other,George Washington
New Zealand,1795,0,Other,George Washington
Palestine,1795,0,Other,George Washington
Bulgaria,1795,0,Other,George Washington
Ireland,1795,0,Other,George Washington
Bosnia,1795,0,Other,George Washington
Armenia,1795,0,Other,George Washington
El Salvador,1795,0,Other,George Washington
Indonesia,1795,0,Other,George Washington
Kosovo,1795,0,Other,George Washington
Laos,1795,0,Other,George Washington
Nigeria,1795,0,Other,George Washington
Yemen,1795,0,Other,George Washington
Czechoslovakia,1795,0,Other,George Washington
Northern Ireland,1795,0,Other,George Washington
Somalia,1795,0,Other,George Washington
Uruguay,1795,0,Other,George Washington
Cambodia,1795,0,Other,George Washington
Saudi Arabia,1795,0,Other,George Washington
South Africa,1795,0,Other,George Washington
Yugoslavia,1795,0,Other,George Washington
Finland,1795,0,Other,George Washington
Thailand,1795,0,Other,George Washington
Jordan,1795,0,Other,George Washington
Kuwait,1795,0,Other,George Washington
Lithuania,1795,0,Other,George Washington
Sudan,1795,0,Other,George Washington
Taiwan,1795,0,Other,George Washington
United States of America,1796,16,Other,George Washington
Mexico,1796,0,Other,George Washington
Great Britain,1796,5,Other,George Washington
Spain,1796,2,Other,George Washington
France,1796,1,Other,George Washington
China,1796,0,Other,George Washington
Cuba,1796,0,Other,George Washington
Russia,1796,0,Other,George Washington
Japan,1796,0,Other,George Washington
Germany,1796,0,Other,George Washington
South Korea,1796,0,Other,George Washington
United Kingdom,1796,2,Other,George Washington
Iraq,1796,0,Other,George Washington
Philippines,1796,0,Other,George Washington
Nicaragua,1796,0,Other,George Washington
Afghanistan,1796,0,Other,George Washington
Canada,1796,1,Other,George Washington
Brazil,1796,0,Other,George Washington
Venezuela,1796,0,Other,George Washington
Iran,1796,0,Other,George Washington
Turkey,1796,0,Other,George Washington
Peru,1796,0,Other,George Washington
Vietnam,1796,0,Other,George Washington
Panama,1796,0,Other,George Washington
Italy,1796,0,Other,George Washington
Portugal,1796,0,Other,George Washington
Chile,1796,0,Other,George Washington
Austria,1796,0,Other,George Washington
Colombia,1796,0,Other,George Washington
Netherlands,1796,0,Other,George Washington
Denmark,1796,0,Other,George Washington
Israel,1796,0,Other,George Washington
Egypt,1796,0,Other,George Washington
Belgium,1796,0,Other,George Washington
Sweden,1796,0,Other,George Washington
Costa Rica,1796,0,Other,George Washington
Argentina,1796,0,Other,George Washington
Liberia,1796,0,Other,George Washington
Greece,1796,0,Other,George Washington
Poland,1796,0,Other,George Washington
Bolivia,1796,0,Other,George Washington
Honduras,1796,0,Other,George Washington
India,1796,0,Other,George Washington
Geneva,1796,0,Other,George Washington
Ecuador,1796,0,Other,George Washington
Pakistan,1796,0,Other,George Washington
The West Indies,1796,3,Other,George Washington
Libya,1796,1,Other,George Washington
Norway,1796,0,Other,George Washington
Prussia,1796,0,Other,George Washington
Australia,1796,0,Other,George Washington
Ukraine,1796,0,Other,George Washington
Hungary,1796,0,Other,George Washington
Lebanon,1796,0,Other,George Washington
North Korea,1796,0,Other,George Washington
Guatemala,1796,0,Other,George Washington
Haiti,1796,0,Other,George Washington
Switzerland,1796,0,Other,George Washington
Syria,1796,0,Other,George Washington
Morocco,1796,0,Other,George Washington
The Dominican Republic,1796,0,Other,George Washington
New Zealand,1796,0,Other,George Washington
Palestine,1796,0,Other,George Washington
Bulgaria,1796,0,Other,George Washington
Ireland,1796,0,Other,George Washington
Bosnia,1796,0,Other,George Washington
Armenia,1796,0,Other,George Washington
El Salvador,1796,0,Other,George Washington
Indonesia,1796,0,Other,George Washington
Kosovo,1796,0,Other,George Washington
Laos,1796,0,Other,George Washington
Nigeria,1796,0,Other,George Washington
Yemen,1796,0,Other,George Washington
Czechoslovakia,1796,0,Other,George Washington
Northern Ireland,1796,0,Other,George Washington
Somalia,1796,0,Other,George Washington
Uruguay,1796,0,Other,George Washington
Cambodia,1796,0,Other,George Washington
Saudi Arabia,1796,0,Other,George Washington
South Africa,1796,0,Other,George Washington
Yugoslavia,1796,0,Other,George Washington
Finland,1796,0,Other,George Washington
Thailand,1796,0,Other,George Washington
Jordan,1796,0,Other,George Washington
Kuwait,1796,0,Other,George Washington
Lithuania,1796,0,Other,George Washington
Sudan,1796,0,Other,George Washington
Taiwan,1796,0,Other,George Washington
United States of America,1797,16,Other,John Adams
Mexico,1797,0,Other,John Adams
Great Britain,1797,2,Other,John Adams
Spain,1797,3,Other,John Adams
France,1797,5,Other,John Adams
China,1797,0,Other,John Adams
Cuba,1797,0,Other,John Adams
Russia,1797,0,Other,John Adams
Japan,1797,0,Other,John Adams
Germany,1797,0,Other,John Adams
South Korea,1797,0,Other,John Adams
United Kingdom,1797,1,Other,John Adams
Iraq,1797,0,Other,John Adams
Philippines,1797,0,Other,John Adams
Nicaragua,1797,0,Other,John Adams
Afghanistan,1797,0,Other,John Adams
Canada,1797,0,Other,John Adams
Brazil,1797,0,Other,John Adams
Venezuela,1797,0,Other,John Adams
Iran,1797,0,Other,John Adams
Turkey,1797,0,Other,John Adams
Peru,1797,0,Other,John Adams
Vietnam,1797,0,Other,John Adams
Panama,1797,0,Other,John Adams
Italy,1797,0,Other,John Adams
Portugal,1797,0,Other,John Adams
Chile,1797,0,Other,John Adams
Austria,1797,0,Other,John Adams
Colombia,1797,0,Other,John Adams
Netherlands,1797,2,Other,John Adams
Denmark,1797,0,Other,John Adams
Israel,1797,0,Other,John Adams
Egypt,1797,0,Other,John Adams
Belgium,1797,0,Other,John Adams
Sweden,1797,0,Other,John Adams
Costa Rica,1797,0,Other,John Adams
Argentina,1797,0,Other,John Adams
Liberia,1797,0,Other,John Adams
Greece,1797,0,Other,John Adams
Poland,1797,0,Other,John Adams
Bolivia,1797,0,Other,John Adams
Honduras,1797,0,Other,John Adams
India,1797,0,Other,John Adams
Geneva,1797,0,Other,John Adams
Ecuador,1797,0,Other,John Adams
Pakistan,1797,0,Other,John Adams
The West Indies,1797,0,Other,John Adams
Libya,1797,0,Other,John Adams
Norway,1797,0,Other,John Adams
Prussia,1797,0,Other,John Adams
Australia,1797,0,Other,John Adams
Ukraine,1797,0,Other,John Adams
Hungary,1797,0,Other,John Adams
Lebanon,1797,0,Other,John Adams
North Korea,1797,0,Other,John Adams
Guatemala,1797,0,Other,John Adams
Haiti,1797,0,Other,John Adams
Switzerland,1797,0,Other,John Adams
Syria,1797,0,Other,John Adams
Morocco,1797,0,Other,John Adams
The Dominican Republic,1797,0,Other,John Adams
New Zealand,1797,0,Other,John Adams
Palestine,1797,0,Other,John Adams
Bulgaria,1797,0,Other,John Adams
Ireland,1797,0,Other,John Adams
Bosnia,1797,0,Other,John Adams
Armenia,1797,0,Other,John Adams
El Salvador,1797,0,Other,John Adams
Indonesia,1797,0,Other,John Adams
Kosovo,1797,0,Other,John Adams
Laos,1797,0,Other,John Adams
Nigeria,1797,0,Other,John Adams
Yemen,1797,0,Other,John Adams
Czechoslovakia,1797,0,Other,John Adams
Northern Ireland,1797,0,Other,John Adams
Somalia,1797,0,Other,John Adams
Uruguay,1797,0,Other,John Adams
Cambodia,1797,0,Other,John Adams
Saudi Arabia,1797,0,Other,John Adams
South Africa,1797,0,Other,John Adams
Yugoslavia,1797,0,Other,John Adams
Finland,1797,0,Other,John Adams
Thailand,1797,0,Other,John Adams
Jordan,1797,0,Other,John Adams
Kuwait,1797,0,Other,John Adams
Lithuania,1797,0,Other,John Adams
Sudan,1797,0,Other,John Adams
Taiwan,1797,0,Other,John Adams
United States of America,1798,16,Other,John Adams
Mexico,1798,0,Other,John Adams
Great Britain,1798,1,Other,John Adams
Spain,1798,3,Other,John Adams
France,1798,10,Other,John Adams
China,1798,0,Other,John Adams
Cuba,1798,0,Other,John Adams
Russia,1798,0,Other,John Adams
Japan,1798,0,Other,John Adams
Germany,1798,0,Other,John Adams
South Korea,1798,0,Other,John Adams
United Kingdom,1798,0,Other,John Adams
Iraq,1798,0,Other,John Adams
Philippines,1798,0,Other,John Adams
Nicaragua,1798,0,Other,John Adams
Afghanistan,1798,0,Other,John Adams
Canada,1798,0,Other,John Adams
Brazil,1798,0,Other,John Adams
Venezuela,1798,0,Other,John Adams
Iran,1798,0,Other,John Adams
Turkey,1798,0,Other,John Adams
Peru,1798,0,Other,John Adams
Vietnam,1798,0,Other,John Adams
Panama,1798,0,Other,John Adams
Italy,1798,0,Other,John Adams
Portugal,1798,0,Other,John Adams
Chile,1798,0,Other,John Adams
Austria,1798,0,Other,John Adams
Colombia,1798,0,Other,John Adams
Netherlands,1798,0,Other,John Adams
Denmark,1798,0,Other,John Adams
Israel,1798,0,Other,John Adams
Egypt,1798,0,Other,John Adams
Belgium,1798,0,Other,John Adams
Sweden,1798,0,Other,John Adams
Costa Rica,1798,0,Other,John Adams
Argentina,1798,0,Other,John Adams
Liberia,1798,0,Other,John Adams
Greece,1798,0,Other,John Adams
Poland,1798,0,Other,John Adams
Bolivia,1798,0,Other,John Adams
Honduras,1798,0,Other,John Adams
India,1798,0,Other,John Adams
Geneva,1798,0,Other,John Adams
Ecuador,1798,0,Other,John Adams
Pakistan,1798,0,Other,John Adams
The West Indies,1798,0,Other,John Adams
Libya,1798,0,Other,John Adams
Norway,1798,0,Other,John Adams
Prussia,1798,0,Other,John Adams
Australia,1798,0,Other,John Adams
Ukraine,1798,0,Other,John Adams
Hungary,1798,0,Other,John Adams
Lebanon,1798,0,Other,John Adams
North Korea,1798,0,Other,John Adams
Guatemala,1798,0,Other,John Adams
Haiti,1798,0,Other,John Adams
Switzerland,1798,0,Other,John Adams
Syria,1798,0,Other,John Adams
Morocco,1798,0,Other,John Adams
The Dominican Republic,1798,0,Other,John Adams
